location,date,diet,Species,Sex,Age,area,15N fur,13C fur,15N membrane,13C membrane,15N liver,13C liver,15N stomach content,13C stomach content
a,12/16/2013,insects,Molossus_molossus,M,J,open,9.75,-15.84,9.8,-15.83,9.36,-16.27,NA,NA
a,12/16/2013,fruits,Artibeus_lituratus,M,J,closed,8.98,-25.06,10.03,-24.76,NA,NA,NA,NA
b,12/17/2013,nectar,Glossophaga_soricina,M,A,closed,11.04,-21.87,12.27,-21.7,9.87,-25.85,NA,NA
b,12/17/2013,nectar,Glossophaga_soricina,M,A,closed,10.52,-22.33,12.06,-21.93,11.88,-21.25,NA,NA
c,01/09/2014,insects,Molossus_molossus,F,J,open,11.31,-17.44,12.52,-17.2,NA,NA,NA,NA
d,3/14/2014,nectar,Glossophaga_soricina,F,J,closed,9.36,-24.09,9.72,-22.48,10,-22.9,NA,NA
d,3/14/2014,nectar,Glossophaga_soricina,M,A,closed,10.96,-22.74,10.94,-22,10.67,-22.1,NA,NA
e,05/05/2014,insects,Molossus_molossus,F,A,open,9.71,-14.19,10.09,-13.39,NA,NA,NA,NA
e,05/05/2014,insects,Molossus_molossus,F,A,open,9.69,-14.36,10.13,-13.69,10.19,-12.3,NA,NA
f,5/22/2014,insects,Molossus_molossus,M,A,open,9.98,-14.57,9.92,-14.46,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,8.54,-24.6,9.59,-24.43,10.49,-24.73,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,M,A,closed,8.2,-24.86,10.75,-24.53,10.65,-25.42,8.42,-25.1
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,8.37,-24.82,9.17,-24.49,8.77,-25.08,9.44,-25.45
g,05/06/2014,fruits,Sturnira_lilium,F,A,closed,7.55,-25.02,9.25,-24.96,9.16,-25.22,NA,NA
g,05/06/2014,fruits,Sturnira_lilium,M,A,closed,9.44,-25.84,9.24,-24.16,8.41,-24.79,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,7.18,-24.74,NA,NA,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,M,A,closed,7.27,-24.97,NA,NA,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,M,A,closed,8.28,-24.87,NA,NA,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,7.09,-24.41,NA,NA,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,8.24,-24.63,NA,NA,NA,NA,NA,NA
g,05/06/2014,fruits,Artibeus_lituratus,F,A,closed,7.13,-25.01,NA,NA,NA,NA,NA,NA
h,6/26/2014,fruits,Artibeus_lituratus,F,A,closed,7.64,-24.46,8.6,-25.45,8.49,-26.19,NA,NA
h,6/26/2014,fruits,Artibeus_lituratus,M,A,closed,9.32,-23.66,9.98,-24.47,8.82,-26.17,8.12,-26.18
h,6/26/2014,fruits,Artibeus_lituratus,M,A,closed,8.76,-23.53,8.41,-25.15,7.35,-26.14,NA,NA
h,6/26/2014,fruits,Artibeus_lituratus,F,A,closed,8.25,-24.8,9.78,-25.17,9.8,-26.68,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,M,A,closed,6.22,-25,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,M,A,closed,8.99,-25.29,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,F,A,closed,9.21,-24.82,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,F,A,closed,7.39,-24,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,F,A,closed,8.74,-24.56,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,F,A,closed,8.23,-24.76,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Artibeus_lituratus,M,A,closed,8.48,-24.49,NA,NA,NA,NA,NA,NA
i,8/21/2014,fruits,Platyrrhinus lineatus,F,A,closed,7.24,-25.68,7.93,-25.64,8.64,-25.86,NA,NA
i,8/21/2014,fruits,Platyrrhinus lineatus,M,A,closed,8.3,-25.56,10.84,-25.33,10.24,-25.77,NA,NA
i,8/21/2014,insects,Molossops_temminckii,F,A,open,9.66,-17.95,10.35,-18.92,9.62,-19.59,NA,NA
i,8/21/2014,insects,Molossus_rufus,M,A,open,9.9,-16.3,10.11,-17.34,8.31,-18.76,8.37,-23.4
i,8/21/2014,insects,Molossus_rufus,M,A,open,9.82,-15.97,10.1,-15.43,9.21,-15.67,NA,NA
i,8/21/2014,insects,Molossus_molossus,M,A,open,9.48,-14.78,10.93,-16.09,NA,NA,5.53,-21.49
i,8/21/2014,insects,Molossus_molossus,F,A,open,9.63,-15.86,10.5,-17.53,9.19,-18.53,NA,NA
