"Local" "Type" "Order" "Family" "Quantity" "X15N" "X13C"
"1" "Pasture" "C4" "Coleoptera" "Carabidae" 5 8.44 -14.64
"2" "Pasture" "C4" "Coleoptera" "Carabidae" 6 4.28 -11.71
"3" "Pasture" "C4" "Coleoptera" "Coccinellidae" 5 7.12 -24.97
"4" "Pasture" "C4" "Coleoptera" "Passalidae" 6 6.29 -11.29
"5" "Pasture" "C4" "Coleoptera" "Passalidae" 6 8.69 -10.67
"6" "Pasture" "C4" "Coleoptera" "Passalidae" 6 9.01 -15.24
"7" "Pasture" "C4" "Coleoptera" "Scarabaeidae" 15 1.67 -10.98
"8" "Pasture" "C4" "Coleoptera" "Tenebrionidae" 2 7.11 -11.45
"9" "Pasture" "C4" "Dermaptera" "Forficulidae" 17 5.86 -12.28
"10" "Pasture" "C4" "Diptera" "Tachinidae" 1 9.44 -21.37
"11" "Pasture" "C4" "Diptera" "Chironomidae" 9 1.09 -26.98
"12" "Pasture" "C4" "Diptera" "Chironomidae" 9 2.17 -23.62
"13" "Pasture" "C4" "Hemiptera_(Auchenorryncha)" "Cicadellidae" 2 -3.33 -10.93
"14" "Pasture" "C4" "Hemiptera_(Heteroptera)" "Reduviidae" 1 3.58 -27.93
"15" "Pasture" "C4" "Hymenoptera" "Pompilidae" 2 7.63 -25.27
"16" "Pasture" "C4" "Lepidoptera" "Acrophidae" 1 6.48 -22.46
"17" "Pasture" "C4" "Lepidoptera" "Crambidae" 1 3.88 -26.66
"18" "Pasture" "C4" "Lepidoptera" "Crambidae" 1 0.43 -26.43
"19" "Pasture" "C4" "Lepidoptera" "Crambidae" 1 12.22 -16.81
"20" "Pasture" "C4" "Lepidoptera" "Crambidae" 1 10.55 -29.13
"21" "Pasture" "C4" "Lepidoptera" "Geometridae" 1 7.71 -31.89
"22" "Pasture" "C4" "Lepidoptera" "Noctuidae" 1 2.07 -12.5
"23" "Pasture" "C4" "Lepidoptera" "Noctuidae" 1 2.13 -13.9
"24" "Pasture" "C4" "Lepidoptera" "Noctuidae" 1 12.57 -16.76
